统计日期,栏目,文章标题,发布时间,原始关键词,归一关键词,实体,信号,主题,核心摘要,延伸检索词,文章链接
2026-04-23,深氪,智谱、MiniMax港股IPO，熬过孤独的人和500亿奖赏 | 深 氪 lite,2026-04-23,深氪,深氪|MiniMax|IPO|lite|智谱|港股|熬过孤独的人和|亿奖赏,深氪|MiniMax|IPO|智谱|港股,信息更新,AI与前沿技术,AI与前沿技术方向出现信息更新信号，重点涉及深氪、MiniMax；代表事件为《智谱、MiniMax港股IPO，熬过孤独的人和500亿奖赏 | 深 氪 lite》。,深氪 AI与前沿技术|MiniMax AI与前沿技术|IPO AI与前沿技术|AI与前沿技术 信息更新,https://36kr.com/p/3631042586395657
2026-04-23,深氪,七天挣百万，短剧演员的改命之路｜ 深 氪 lite,2026-04-23,深氪,深氪|lite|七天挣百万|短剧演员的改命之路,深氪|七天挣百万|短剧演员的改命之路,信息更新,消费与青年文化,消费与青年文化方向出现信息更新信号，重点涉及深氪、七天挣百万；代表事件为《七天挣百万，短剧演员的改命之路｜ 深 氪 lite》。,深氪 消费与青年文化|七天挣百万 消费与青年文化|lite 消费与青年文化|消费与青年文化 信息更新,https://36kr.com/p/3586384697703553
2026-04-23,深氪,我的男友是虚拟的，但他很快就会变成现实｜ 深 氪,2026-04-23,深氪,深氪|我的男友是虚拟的|但他很快就会变成现实,深氪|我的男友是虚拟的|但他很快就会变成现实,信息更新,AI与前沿技术,AI与前沿技术方向出现信息更新信号，重点涉及深氪、我的男友是虚拟的；代表事件为《我的男友是虚拟的，但他很快就会变成现实｜ 深 氪》。,深氪 AI与前沿技术|我的男友是虚拟的 AI与前沿技术|但他很快就会变成现实 AI与前沿技术|AI与前沿技术 信息更新,https://36kr.com/p/3591180729696516
2026-04-23,深氪,Manus数十亿美元卖身，中国AI应用的关键词只有一个｜ 深 氪,2026-04-23,深氪,深氪|Manus|AI|数十亿美元卖身|中国|应用的关键词只有一个,深氪|Manus|数十亿美元卖身|中国|应用的关键词只有一个,信息更新,AI与前沿技术,AI与前沿技术方向出现信息更新信号，重点涉及深氪、Manus；代表事件为《Manus数十亿美元卖身，中国AI应用的关键词只有一个｜ 深 氪》。,深氪 AI与前沿技术|Manus AI与前沿技术|AI AI与前沿技术|AI与前沿技术 信息更新,https://36kr.com/p/3618211929555974
2026-04-23,深氪,全球硬件大爆款，生于中国｜ 深 氪,2026-04-23,深氪,深氪|全球硬件大爆款|生于中国,深氪|全球硬件大爆款|生于中国,信息更新,企业战略与人事,企业战略与人事方向出现信息更新信号，重点涉及深氪、全球硬件大爆款；代表事件为《全球硬件大爆款，生于中国｜ 深 氪》。,深氪 企业战略与人事|全球硬件大爆款 企业战略与人事|生于中国 企业战略与人事|企业战略与人事 信息更新,https://36kr.com/p/3470301182891396
2026-04-23,后浪白皮书,想戒也戒不掉的奶茶，是留给打工人最后的甜 | 后 浪 白 皮 书,2026-04-23,后浪白皮书,后浪白皮书|想戒也戒不掉的奶茶|是留给打工人最后的甜,后浪白皮书|想戒也戒不掉的奶茶|是留给打工人最后的甜,信息更新,消费与青年文化,消费与青年文化方向出现信息更新信号，重点涉及后浪白皮书、想戒也戒不掉的奶茶；代表事件为《想戒也戒不掉的奶茶，是留给打工人最后的甜 | 后 浪 白 皮 书》。,后浪白皮书 消费与青年文化|想戒也戒不掉的奶茶 消费与青年文化|是留给打工人最后的甜 消费与青年文化|消费与青年文化 信息更新,https://36kr.com/p/1382700624657540
2026-04-23,后浪白皮书,大年初一聊聊天，愿你23年野蛮生长 、无拘无碍,2026-04-23,后浪白皮书,后浪白皮书|大年初一聊聊天|愿你|年野蛮生长|无拘无碍,后浪白皮书|大年初一聊聊天|愿你|年野蛮生长|无拘无碍,信息更新,消费与青年文化,消费与青年文化方向出现信息更新信号，重点涉及后浪白皮书、大年初一聊聊天；代表事件为《大年初一聊聊天，愿你23年野蛮生长 、无拘无碍》。,后浪白皮书 消费与青年文化|大年初一聊聊天 消费与青年文化|愿你 消费与青年文化|消费与青年文化 信息更新,https://36kr.com/p/2107240846066050
2026-04-23,后浪白皮书,核心服务,2026-04-23,后浪白皮书,后浪白皮书|核心服务,后浪白皮书|核心服务,信息更新,消费与青年文化,消费与青年文化方向出现信息更新信号，重点涉及后浪白皮书、核心服务；代表事件为《核心服务》。,后浪白皮书 消费与青年文化|核心服务 消费与青年文化|消费与青年文化 信息更新,https://www.36kr.com/p/2492318105786505
2026-04-23,行业日报,Kimi不语，只是一个劲的逼单、让你开会员,2026-04-23,行业日报,行业日报|Kimi|不语|只是一个劲的逼单|让你开会员,行业日报|Kimi|不语|只是一个劲的逼单|让你开会员,信息更新,AI与前沿技术,AI与前沿技术方向出现信息更新信号，重点涉及行业日报、Kimi；代表事件为《Kimi不语，只是一个劲的逼单、让你开会员》。,行业日报 AI与前沿技术|Kimi AI与前沿技术|不语 AI与前沿技术|AI与前沿技术 信息更新,https://36kr.com/p/3737769530520326
2026-04-23,行业日报,keep能够成为下一个peloton吗？,2026-04-23,行业日报,行业日报|keep|peloton|能够成为下一个,行业日报|能够成为下一个,信息更新,企业战略与人事,企业战略与人事方向出现信息更新信号，重点涉及行业日报、能够成为下一个；代表事件为《keep能够成为下一个peloton吗？》。,行业日报 企业战略与人事|能够成为下一个 企业战略与人事|keep 企业战略与人事|peloton 企业战略与人事|企业战略与人事 信息更新,https://36kr.com/p/1144950862449666
2026-04-23,行业日报,盘点2019年最热门的10大增长策略,2026-04-23,行业日报,行业日报|盘点|年最热门的|大增长策略,行业日报|盘点|年最热门的|大增长策略,信息更新,企业战略与人事,企业战略与人事方向出现信息更新信号，重点涉及行业日报、盘点；代表事件为《盘点2019年最热门的10大增长策略》。,行业日报 企业战略与人事|盘点 企业战略与人事|年最热门的 企业战略与人事|企业战略与人事 信息更新,https://36kr.com/p/1724932882433
2026-04-23,Long China 50,字节再试AI硬件：用收购补充团队、两条产品线共发力丨 Long China 50 独家,2026-04-23,Long China 50,Long China 50|AI|Long|China|字节再试|硬件|用收购补充团队|两条产品线共发力丨,Long China 50|Long|China|字节再试|硬件,信息更新,AI与前沿技术,AI与前沿技术方向出现信息更新信号，重点涉及Long China 50、Long；代表事件为《字节再试AI硬件：用收购补充团队、两条产品线共发力丨 Long China 50 独家》。,Long China 50 AI与前沿技术|Long AI与前沿技术|AI AI与前沿技术|AI与前沿技术 信息更新,https://36kr.com/p/2785354366305413
2026-04-23,Long China 50,小红书内测自研大模型“小地瓜”，社交和搜索是落地方向 | Long China 50 独家,2026-04-23,Long China 50,Long China 50|Long|China|小红书内测自研大模型|小地瓜|社交和搜索是落地方向|独家,Long China 50|Long|China|小红书内测自研大模型|小地瓜,信息更新,AI与前沿技术,AI与前沿技术方向出现信息更新信号，重点涉及Long China 50、Long；代表事件为《小红书内测自研大模型“小地瓜”，社交和搜索是落地方向 | Long China 50 独家》。,Long China 50 AI与前沿技术|Long AI与前沿技术|China AI与前沿技术|AI与前沿技术 信息更新,https://36kr.com/p/2754311490730760
2026-04-23,Long China 50,AI大牛杨红霞离职创业，曾为字节和阿里大模型研发主力 | Long China 50 独家,2026-04-23,Long China 50,Long China 50|AI|Long|China|大牛杨红霞离职创业|曾为字节和阿里大模型研发|主力|独家,Long China 50|Long|China|大牛杨红霞离职创业|曾为字节和阿里大模型研发,信息更新,AI与前沿技术,AI与前沿技术方向出现信息更新信号，重点涉及Long China 50、Long；代表事件为《AI大牛杨红霞离职创业，曾为字节和阿里大模型研发主力 | Long China 50 独家》。,Long China 50 AI与前沿技术|Long AI与前沿技术|AI AI与前沿技术|AI与前沿技术 信息更新,https://36kr.com/p/2788351176311687
2026-04-23,Long China 50,小米生态链模式十年来最大调整，提出分级管理策略丨 Long China 50 独家,2026-04-23,Long China 50,Long China 50|Long|China|小米生态链模式十年来最大|调整|提出分级管理策略丨|独家,Long China 50|Long|China|小米生态链模式十年来最大|调整,信息更新,企业战略与人事,企业战略与人事方向出现信息更新信号，重点涉及Long China 50、Long；代表事件为《小米生态链模式十年来最大调整，提出分级管理策略丨 Long China 50 独家》。,Long China 50 企业战略与人事|Long 企业战略与人事|China 企业战略与人事|企业战略与人事 信息更新,https://36kr.com/p/2684326515309572
2026-04-23,Long China 50,美团再出手大模型，独家投资「智谱AI」| Long China 50 独家,2026-04-23,Long China 50,Long China 50|AI|Long|China|美团再出手大模型|独家投资|智谱|独家,Long China 50|Long|China|美团再出手大模型|独家投资,投融资,AI与前沿技术,AI与前沿技术方向出现投融资信号，重点涉及Long China 50、Long；代表事件为《美团再出手大模型，独家投资「智谱AI」| Long China 50 独家》。,Long China 50 AI与前沿技术|Long AI与前沿技术|AI AI与前沿技术|AI与前沿技术 投融资,https://36kr.com/p/2199303305939075
2026-04-23,投资派,投 资 派 | 投资越南，机遇还是陷阱？,2026-04-23,投资派,投资派|投资越南|机遇还是陷阱,投资派|投资越南|机遇还是陷阱,投融资,投资与市场观察,投资与市场观察方向出现投融资信号，重点涉及投资派、投资越南；代表事件为《投 资 派 | 投资越南，机遇还是陷阱？》。,投资派 投资与市场观察|投资越南 投资与市场观察|机遇还是陷阱 投资与市场观察|投资与市场观察 投融资,https://36kr.com/p/2806269404477064
2026-04-23,投资派,墨西哥还值得新能源车企押注吗？｜ 投 资 派,2026-04-23,投资派,投资派|墨西哥还值得新能源车企押|注吗,投资派|墨西哥还值得新能源车企押|注吗,投融资,投资与市场观察,投资与市场观察方向出现投融资信号，重点涉及投资派、墨西哥还值得新能源车企押；代表事件为《墨西哥还值得新能源车企押注吗？｜ 投 资 派》。,投资派 投资与市场观察|墨西哥还值得新能源车企押 投资与市场观察|注吗 投资与市场观察|投资与市场观察 投融资,https://36kr.com/p/2836044407786372
2026-04-23,投资派,马来西亚这六年：从没有一张二维码到无现金社会｜ 投 资 派,2026-04-23,投资派,投资派|马来西亚这六年|从没有一张二维码到无现金|社会,投资派|马来西亚这六年|从没有一张二维码到无现金|社会,信息更新,投资与市场观察,投资与市场观察方向出现信息更新信号，重点涉及投资派、马来西亚这六年；代表事件为《马来西亚这六年：从没有一张二维码到无现金社会｜ 投 资 派》。,投资派 投资与市场观察|马来西亚这六年 投资与市场观察|从没有一张二维码到无现金 投资与市场观察|投资与市场观察 信息更新,https://36kr.com/p/2857241171774339
2026-04-23,投资派,巴菲特加码投资日本股市，大举发行日元债券｜ 投 资 派,2026-04-23,投资派,投资派|巴菲特加码投资日本股市|大举发行日元债券,投资派|巴菲特加码投资日本股市|大举发行日元债券,投融资,投资与市场观察,投资与市场观察方向出现投融资信号，重点涉及投资派、巴菲特加码投资日本股市；代表事件为《巴菲特加码投资日本股市，大举发行日元债券｜ 投 资 派》。,投资派 投资与市场观察|巴菲特加码投资日本股市 投资与市场观察|大举发行日元债券 投资与市场观察|投资与市场观察 投融资,https://36kr.com/p/2748358664141572
2026-04-23,投资派,巴菲特与科技股的爱恨纠葛：保守还是错失机会？｜ 投 资 派,2026-04-23,投资派,投资派|巴菲特与科技股的爱恨纠葛|保守还是错失机会,投资派|巴菲特与科技股的爱恨纠葛|保守还是错失机会,信息更新,投资与市场观察,投资与市场观察方向出现信息更新信号，重点涉及投资派、巴菲特与科技股的爱恨纠葛；代表事件为《巴菲特与科技股的爱恨纠葛：保守还是错失机会？｜ 投 资 派》。,投资派 投资与市场观察|巴菲特与科技股的爱恨纠葛 投资与市场观察|保守还是错失机会 投资与市场观察|投资与市场观察 信息更新,https://36kr.com/p/2745667847453698
2026-04-23,新青年观察,当00后开始做老板：佛系、平等、「无组织无纪律」,2026-04-23,新青年观察,新青年观察|后开始做老板|佛系|平等|无组织无纪律,新青年观察|后开始做老板|佛系|平等|无组织无纪律,信息更新,消费与青年文化,消费与青年文化方向出现信息更新信号，重点涉及新青年观察、后开始做老板；代表事件为《当00后开始做老板：佛系、平等、「无组织无纪律」》。,新青年观察 消费与青年文化|后开始做老板 消费与青年文化|佛系 消费与青年文化|消费与青年文化 信息更新,https://36kr.com/p/1709731907540481
2026-04-23,新青年观察,年轻人，你到底有多「硬」？,2026-04-23,新青年观察,新青年观察|年轻人|你到底有多,新青年观察|年轻人|你到底有多,信息更新,消费与青年文化,消费与青年文化方向出现信息更新信号，重点涉及新青年观察、年轻人；代表事件为《年轻人，你到底有多「硬」？》。,新青年观察 消费与青年文化|年轻人 消费与青年文化|你到底有多 消费与青年文化|消费与青年文化 信息更新,https://36kr.com/p/887258865166853
2026-04-23,新青年观察,这届抖音年轻人，把短视频搞成了艺术大片,2026-04-23,新青年观察,新青年观察|这届抖音年轻人|把短视频搞成了艺术大片,新青年观察|这届抖音年轻人|把短视频搞成了艺术大片,信息更新,消费与青年文化,消费与青年文化方向出现信息更新信号，重点涉及新青年观察、这届抖音年轻人；代表事件为《这届抖音年轻人，把短视频搞成了艺术大片》。,新青年观察 消费与青年文化|这届抖音年轻人 消费与青年文化|把短视频搞成了艺术大片 消费与青年文化|消费与青年文化 信息更新,https://36kr.com/p/1723992342529
2026-04-23,数智前瞻,2023，大数据交易所的“集体焦虑”能解吗？ | 数 智 前 瞻,2026-04-23,数智前瞻,数智前瞻|大数据交易所的|集体焦虑|能解吗,数智前瞻|大数据交易所的|集体焦虑|能解吗,信息更新,数智化与金融科技,数智化与金融科技方向出现信息更新信号，重点涉及数智前瞻、大数据交易所的；代表事件为《2023，大数据交易所的“集体焦虑”能解吗？ | 数 智 前 瞻》。,数智前瞻 数智化与金融科技|大数据交易所的 数智化与金融科技|集体焦虑 数智化与金融科技|数智化与金融科技 信息更新,https://36kr.com/p/2302743898041095
2026-04-23,数智前瞻,2022 年金融科技行业新闻Top 5 | 数 智 前 瞻,2026-04-23,数智前瞻,数智前瞻|Top|年金融科技行业新闻,数智前瞻|Top|年金融科技行业新闻,信息更新,数智化与金融科技,数智化与金融科技方向出现信息更新信号，重点涉及数智前瞻、Top；代表事件为《2022 年金融科技行业新闻Top 5 | 数 智 前 瞻》。,数智前瞻 数智化与金融科技|Top 数智化与金融科技|年金融科技行业新闻 数智化与金融科技|数智化与金融科技 信息更新,https://36kr.com/p/2085920865108360
2026-04-23,数智前瞻,今天，我们和科技圈的大佬们聊了聊ChatGPT | 数 智 前 瞻,2026-04-23,数智前瞻,数智前瞻|ChatGPT|今天|我们和科技圈的大佬们聊了,数智前瞻|ChatGPT|今天|我们和科技圈的大佬们聊了,信息更新,AI与前沿技术,AI与前沿技术方向出现信息更新信号，重点涉及数智前瞻、ChatGPT；代表事件为《今天，我们和科技圈的大佬们聊了聊ChatGPT | 数 智 前 瞻》。,数智前瞻 AI与前沿技术|ChatGPT AI与前沿技术|今天 AI与前沿技术|AI与前沿技术 信息更新,https://36kr.com/p/2124000856508551
2026-04-23,数智前瞻,2023年金融数字化领域四大看点 | 数 智 前 瞻,2026-04-23,数智前瞻,数智前瞻|年金融数字化领域四大看点,数智前瞻|年金融数字化领域四大看点,信息更新,数智化与金融科技,数智化与金融科技方向出现信息更新信号，重点涉及数智前瞻、年金融数字化领域四大看点；代表事件为《2023年金融数字化领域四大看点 | 数 智 前 瞻》。,数智前瞻 数智化与金融科技|年金融数字化领域四大看点 数智化与金融科技|数智化与金融科技 信息更新,https://36kr.com/p/2086290965168521
2026-04-23,数智前瞻,智驾数据，制造了一场百亿美金梦 | 数 智 前 瞻,2026-04-23,数智前瞻,数智前瞻|智驾数据|制造了一场百亿美金梦,数智前瞻|智驾数据|制造了一场百亿美金梦,信息更新,数智化与金融科技,数智化与金融科技方向出现信息更新信号，重点涉及数智前瞻、智驾数据；代表事件为《智驾数据，制造了一场百亿美金梦 | 数 智 前 瞻》。,数智前瞻 数智化与金融科技|智驾数据 数智化与金融科技|制造了一场百亿美金梦 数智化与金融科技|数智化与金融科技 信息更新,https://36kr.com/p/2111296426756486
